major,dist,uuid,timestamp,measuredPower,rssi,proximity,minor,accuracy
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106127152,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106128109,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106129076,-55,-57,near,5,1.1451554164841522
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106130033,-55,-56,near,5,1.070119346841347
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106130983,-55,-56,near,5,1.070119346841347
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106131946,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106132904,-55,-55,near,5,1
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106133860,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106134813,-55,-55,near,5,1
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106135768,-55,-57,near,5,1.1451554164841522
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106136740,-55,-57,near,5,1.1451554164841522
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106137681,-55,-81,far,5,5.82421784735707
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106138631,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106139588,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106140575,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106141514,-55,-57,near,5,1.1451554164841522
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106142472,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106143432,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106144397,-55,-57,near,5,1.1451554164841522
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106145360,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106146325,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106147287,-55,-56,near,5,1.070119346841347
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106148238,-55,-57,near,5,1.1451554164841522
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106149197,-55,-54,near,5,0.9344752087247861
1,0.1,b9407f30f5f8466eaff925556b57fe6d,1521106150159,-55,-54,near,5,0.9344752087247861
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106177975,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106178934,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106179884,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106180848,-55,-60,near,5,1.4033341020277499
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106181799,-55,-60,near,5,1.4033341020277499
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106182758,-55,-60,near,5,1.4033341020277499
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106183718,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106184682,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106185643,-55,-60,near,5,1.4033341020277499
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106186596,-55,-60,near,5,1.4033341020277499
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106187567,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106188529,-55,-82,far,5,6.232608198675469
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106189494,-55,-82,far,5,6.232608198675469
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106190453,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106191401,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106192354,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106193311,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106194271,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106195218,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106196175,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106197135,-55,-61,near,5,1.5017349726621252
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106198096,-55,-58,near,5,1.225452966319852
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106199067,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106200011,-55,-57,near,5,1.1451554164841522
1,0.2,b9407f30f5f8466eaff925556b57fe6d,1521106200985,-55,-60,near,5,1.4033341020277499
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106276680,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106277641,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106278599,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106279552,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106280517,-55,-85,far,5,7.6377682049762825
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106281478,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106282433,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106283389,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106284351,-55,-62,near,5,1.6070356480740016
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106285310,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106286283,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106287224,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106288185,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106290093,-55,-62,near,5,1.6070356480740016
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106291053,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106292003,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106292954,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106293914,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106294880,-55,-62,near,5,1.6070356480740016
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106295830,-55,-62,near,5,1.6070356480740016
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106296792,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106297744,-55,-63,near,5,1.719719938067713
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106298708,-55,-65,near,5,1.9693466019140324
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106299668,-55,-62,near,5,1.6070356480740016
1,0.5,b9407f30f5f8466eaff925556b57fe6d,1521106300624,-55,-62,near,5,1.6070356480740016
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106459679,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106460633,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106461583,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106462541,-55,-66,near,5,2.107435899344471
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106463492,-55,-66,near,5,2.107435899344471
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106464451,-55,-66,near,5,2.107435899344471
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106466371,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106467321,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106468280,-55,-67,near,5,2.255207928116514
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106469244,-55,-69,near,5,2.5825635741806288
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106470197,-55,-69,near,5,2.5825635741806288
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106472109,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106473069,-55,-67,near,5,2.255207928116514
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106474025,-55,-67,near,5,2.255207928116514
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106474982,-55,-68,near,5,2.4133416350274715
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106475940,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106476896,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106477859,-55,-67,near,5,2.255207928116514
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106478820,-55,-48,near,5,0.6222637321072986
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106479780,-55,-69,near,5,2.5825635741806288
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106480751,-55,-68,near,5,2.4133416350274715
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106481685,-55,-68,near,5,2.4133416350274715
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106482642,-55,-65,near,5,1.9693466019140324
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106483598,-55,-64,near,5,1.840305576875063
1,1,b9407f30f5f8466eaff925556b57fe6d,1521106484559,-55,-66,near,5,2.107435899344471
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106682866,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106683828,-55,-65,near,5,1.9693466019140324
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106684788,-55,-69,near,5,2.5825635741806288
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106685752,-55,-73,near,5,3.386724616277461
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106686715,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106687667,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106689575,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106690537,-55,-72,near,5,3.16481019268925
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106691495,-55,-72,near,5,3.16481019268925
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106692445,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106693417,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106694351,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106695309,-55,-66,near,5,2.107435899344471
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106698175,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106699137,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106700091,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106701042,-55,-70,near,5,2.7636512451784294
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106701999,-55,-66,near,5,2.107435899344471
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106702961,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106703922,-55,-72,near,5,3.16481019268925
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106704875,-55,-73,near,5,3.386724616277461
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106705826,-55,-75,near,5,3.8783260384703437
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106707761,-55,-64,near,5,1.840305576875063
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106708704,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106709659,-55,-67,near,5,2.255207928116514
